item_id,name_item_number,design_front,design_back,design_sleeves,design_hood,supplier_name,product_type,namespace
6a542a9cfd33043edd3e9408,RQ-78556-79757-F1_1,https://merchize-fulfillment.s3.us-west-1.amazonaws.com/artworks/5cff64b86c4756421aca66f5/4uh6egm/26/04/27a5694c-ff53-4355-b521-1d17a30d636f.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1787788828&Signature=%2B%2FGPYSjIT3KLor2EvFBSr42roYs%3D,,,,1C,BRAND_KIT,4uh6egm
6a542a9cfd330461a43e940a,RQ-78556-79757-F1_2,https://merchize-artworks.s3.us-west-1.amazonaws.com/4uh6egm/artworks/6a02656146b6a54468108870/26/05/1778556439408-96ddf600-ea29-49c7-932b-53d1765d9c1e.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=lZz7bqgMhvEF8GTNmfjhQbN99KA%3D,,,,1C,PO_HAWAII_NH_15,4uh6egm
6a542bc9fd330401763e9414,RR-93694-53252-F1_1,https://merchize-artworks.s3.us-west-1.amazonaws.com/dbtncp8/artworks/686dd789291054b14d2c3e72/25/08/1754035331870-442bd70d-49a9-4950-a823-5b79af3a33ce.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=dfFQe0VkIgxaao4exDtvfW2SZqM%3D,,,,1C,DECOR_BANNER_36,dbtncp8
6a542ce101d7ec4d459c13cd,RX-92476-96685-F1_1,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/66c72972ccb832bfd0628e9a/24/08/1724404495586-722740a4-da60-49b5-a0ac-671d3a6153a0.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=8P2%2B1x9tE04AZ9wiMT%2Fa54iWRCI%3D,,,,1C,TSHIRT_02,dyfeenf
6a542ce201d7ec36019c13da,RM-36256-89732-F1_2,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/69ae0ee9187262d4f13b99f7/26/03/1773058100206-dcebdca9-3f08-4803-8935-0e9718b2b67a.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=TXoLz%2BBAxGpU82dj6rVOt8MveyE%3D,,,,1C,DOUB_SPO_SHO_17,dyfeenf
6a542ce201d7ec53219c13d8,RM-36256-89732-F1_1,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/692ed58ef3b416cbddaf90cb/25/12/1764762837182-4b5831db-72df-4e86-989a-ab6c0ef40c5f.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=vZa1A05Paazl%2FWpMffLOzT6Fepw%3D,,,,1C,DOUB_SPO_SHO_17,dyfeenf
6a542ce28d2115cd230e5a70,RX-57365-54475-F1_1,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/66c58399d52c4929622b6941/24/08/1724234277520-02c72fdb-cdb4-44b4-ba43-3d04b4267903.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=w%2BjaEIJXcFK4TrFHPOFEnkCHkyY%3D,,,,1C,SH_RASH_GUARD_06,dyfeenf
6a542ce2fd330480703e9431,RR-59927-89874-F1_2,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/6852fef9f789ab0ddd8567d6/25/06/1750341784051-229390a1-6296-41db-823b-9278278e23b2.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=%2BdWhwI7qprmZnNxShKcQGOZMT90%3D,,,,1C,REG_CASUAL_33,dyfeenf
6a542ce2fd3304c7533e943b,RX-75845-22888-F1_1,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/6a4555f9e5bd9564dc689495/26/07/1782985136405-45816408-659f-4f76-b569-bd6af63e11e4.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=2wuvmIYJEFiCwtGk6WK8JnH6X%2BY%3D,,,,1C,DOUB_SPO_SHO_17,dyfeenf
6a542ce2fd3304e3fd3e942f,RR-59927-89874-F1_1,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/66c680bba0d78fd837843b6b/24/08/1724309953999-d9a27402-5bed-4c61-b221-f8049bbef7b5.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=MoSgFm5cNvjJLdoJmAa4Bebo9nE%3D,,,,1C,TSHIRT_02,dyfeenf
6a542ce301d7ec1d079c13e7,RK-56549-46892-F1_1,,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/67e4963d292819df7f56722c/25/03/1743057945064-640c0dd7-2405-4579-96e4-c845be27db31.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=sLy66cWD9aCf8AHLEDsDLeNgh8o%3D,,,1C,B_BALL_JACKET_19,dyfeenf
6a542ce3fd33040b4d3e9445,RK-68263-23533-F1_1,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/67b2d18d925e201d37d1688d/25/02/1739784216156-fbffc91a-0731-478b-9766-f8fdf12387e3.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=rK%2BTRBkF5hH3O0Jctp0BWi4zsUM%3D,,,,1C,CLOAK_18,dyfeenf
6a542ce3fd33046d283e9447,RK-68263-23533-F1_2,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/66d25e3266e752814ea163be/24/09/1725282479508-3ea0b49f-8f6f-4072-a9ce-792149a0e20a.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1791775999&Signature=LnYUTCbpr3dtefAnnXu9vDwGGG8%3D,,,,1C,TSHIRT_02,dyfeenf
